Q1,Q2,Q3,Q4,Q5,Q6,X,Y,Z,Rx,Ry,Rz
1.3785,-0.2797,0.2924,1.5273,-1.4656,-1.8854,0.22943,0.39323,0.98465,-83.6045,-18.64788,74.51441
2.3837,-0.9495,1.2614,0.8082,-0.8876,-2.4925,0.0028,0.20395,0.73792,-13.84068,-37.99105,38.97356
2.0034,-0.9825,1.413,-1.5382,0.5946,2.7062,0.10358,0.1336,0.71349,-38.73061,17.20953,167.94172
3.0018,-1.1747,0.5608,1.1544,-0.5082,-1.2527,-0.40681,0.20877,0.61473,-34.07676,43.50918,161.31998
0.4766,-0.3788,0.9455,-0.3248,0.3373,0.8479,0.23456,-0.04777,0.88735,-35.99851,-39.10961,68.54252
0.4625,0.9218,1.5534,1.5103,-1.4975,-0.0728,0.04735,-0.14406,0.68897,-92.0819,-56.04525,33.54446
1.3495,0.8433,0.5837,1.5227,1.3567,2.7902,0.11626,-0.16687,1.07628,91.04903,28.76536,65.29075
0.2376,1.2371,0.1915,0.1308,-0.3544,-1.148,-0.23986,-0.21248,1.1611,57.44173,-28.37487,-62.45221
1.4606,-0.3924,0.7869,0.641,-0.1874,0.2309,0.17683,0.23373,0.91314,-14.7351,-4.27812,132.928
1.3235,-0.771,-1.0823,-0.8572,-0.4221,1.209,0.32142,0.66012,0.23106,161.37265,57.30854,-147.12803
0.0469,0.2445,-0.4296,0.2477,-1.3235,-0.8208,0.52485,-0.12558,1.19704,-84.47209,45.43028,-69.5848
0.1863,0.5898,0.6186,-1.0211,-1.2295,-0.1067,-0.00926,-0.15444,1.08406,53.22354,14.74423,-9.87257
0.4034,1.4018,0.0592,-1.283,1.4051,-2.258,-0.267,-0.2771,1.16497,-118.20741,56.59994,10.61969
3.0424,-0.7784,1.3007,0.4747,0.7477,1.94,-0.09424,0.16017,0.753,-66.58363,32.86969,-63.20601
0.3487,-0.6004,1.2507,0.9104,-0.1974,-2.3625,0.1556,-0.10309,0.78384,29.68572,-10.82985,-69.05789
0.674,1.0456,-0.0691,0.1427,-0.881,-2.1638,-0.00785,-0.19831,1.30403,8.08485,-2.71797,-80.64431
2.9807,-0.3911,-0.5561,1.4907,-0.195,-0.6599,-0.7277,0.27012,0.7429,43.45461,39.47912,-119.59746
0.2703,-0.7554,1.0227,-0.5616,1.1789,-2.1107,0.25196,-0.08589,0.79762,78.06783,38.51758,-111.92643
0.4515,-0.8173,1.3539,1.2219,1.5568,3.1171,0.14837,-0.09481,0.73841,109.51329,60.84684,25.30725
1.4094,0.2348,0.7091,-0.7023,0.8052,-0.9536,0.1613,0.05699,1.04204,92.25095,-3.78938,-37.17671
0.7866,-0.1629,-1.5599,0.7864,0.3015,1.4272,0.70643,0.49567,0.51635,85.53946,-36.1998,125.54905
1.121,1.3473,0.4417,0.95,-1.5274,-0.2149,-0.00846,-0.36264,1.01923,-52.39831,-23.87328,58.60758
2.0601,1.2035,-0.4122,-1.0417,-0.2851,-1.4482,0.19721,-0.0511,1.39279,15.89288,36.25983,-13.64092
0.5849,1.4011,-1.0148,0.7802,-1.1079,1.141,0.02368,-0.16428,1.50506,39.28071,32.44249,146.48267
0.619,1.1806,-1.1744,-0.6052,1.2296,-1.266,0.23518,-0.01669,1.50309,69.90736,-16.25672,-83.2913
2.0604,1.3483,0.0406,0.7596,-0.4448,-2.0911,0.2856,-0.21689,1.19106,60.40382,-17.83649,18.30526
1.3166,0.1126,-1.3956,-0.8713,-0.0544,-0.0022,0.35869,0.78386,0.82344,-71.2273,39.06909,-4.93571
2.5058,-0.1282,-0.8522,0.904,0.6832,-2.5622,-0.55318,0.59475,0.84014,-37.10877,18.54506,27.08992
2.7272,1.456,-0.3136,0.5722,0.1077,2.6788,0.36696,0.00251,1.29863,13.81829,70.0828,-5.54626
2.638,1.4461,-0.6682,0.1207,0.8573,-2.6647,0.27812,0.01808,1.42213,96.49253,57.65348,71.87095
1.9062,1.1745,-1.4266,-1.2435,-0.9735,0.3407,0.0449,0.32705,1.48325,7.15072,61.17899,54.29439
0.8961,-1.2521,0.6567,1.1472,0.0696,1.5475,0.36346,0.21416,0.60789,12.34424,-30.47195,-158.74751
2.8161,-0.0483,0.4358,-1.3772,0.6415,1.7053,-0.22388,0.23392,1.05844,-43.23192,-16.58044,179.34536
1.7179,0.9575,-0.4062,-1.433,-1.5639,1.8325,0.14262,0.06121,1.4034,83.54752,-46.17229,109.6238
0.9812,-0.0566,1.3941,-0.9039,0.6,0.7782,0.13345,-0.07038,0.76698,145.05195,-79.52709,-115.03868
0.0693,0.5351,0.4266,1.2525,-1.2961,-1.5488,0.03923,-0.14769,1.15571,-51.07584,-50.19247,-24.70518
0.118,-1.4493,-0.2004,-1.4184,-1.5009,0.4669,0.49551,-0.09236,0.18894,-99.751,22.50373,-173.654
1.031,0.5717,0.5955,0.5082,-0.4646,0.9538,0.11535,-0.09942,1.09371,-44.60021,2.93651,133.98058
1.2307,-1.2196,0.3079,-0.5207,-0.0209,-1.8791,0.30902,0.42351,0.51477,-42.40844,-35.9214,-52.94195
2.7446,0.1104,-0.004,0.4065,0.7156,2.3584,-0.3141,0.29439,1.15092,-35.101,32.96325,-54.10151
1.0924,-1.3823,1.3575,1.4399,-0.1788,0.9564,0.18472,0.03027,0.67884,9.35974,4.83227,-159.5901
0.4437,0.0426,-1.2044,-0.8726,1.0533,-0.1408,0.81916,0.22322,0.84332,-44.13873,-8.73868,-2.66897
0.9611,0.3808,0.3463,1.0431,-0.0803,-2.4904,0.19689,0.01985,1.16841,38.90477,-7.49285,-32.00837
2.3324,0.1876,-0.5057,0.5275,-0.1511,1.3653,-0.29066,0.52227,1.15615,25.76738,-4.03887,-118.13027
0.2946,0.0414,-0.1027,1.2021,-0.0125,1.3412,0.50111,-0.00475,1.11945,2.67697,-2.73871,162.55617
0.1498,0.2834,1.0783,-0.2485,1.3954,1.29,0.01883,-0.14891,0.90206,-162.16742,-19.49122,111.33868
0.1158,-1.3561,0.8955,-0.077,-0.1915,0.2516,0.31742,-0.11414,0.62772,8.41678,36.51335,19.21662
0.1067,0.6354,-0.8259,-0.8144,-1.0924,3.0047,0.46265,-0.10136,1.34825,38.05428,-64.68774,101.93266
1.3463,-1.3876,0.0322,1.3619,-1.4889,2.0922,0.25867,0.45875,0.31972,-123.66243,-70.56623,102.01397
2.7642,0.5791,0.6294,1.4689,0.1469,1.328,0.088,0.12653,1.08016,-47.3371,60.21057,-64.07435
1.7741,0.5838,-1.4917,-1.2652,0.2708,-2.8032,0.00298,0.72873,1.15957,46.34008,-18.04703,-132.11728
2.2591,0.6619,0.3177,1.1198,0.7561,1.1063,0.12007,0.09023,1.19474,-80.22029,22.26186,-98.12553
0.6293,0.195,0.4145,-0.2698,0.6844,-1.7636,0.2444,-0.00767,1.12117,72.32751,19.32906,-70.09363
1.412,0.9964,0.396,1.2051,-0.593,0.2878,0.11863,-0.20811,1.13094,-69.82865,4.36565,138.73885
1.7018,0.28,1.3464,0.3922,-0.5387,0.9678,0.15102,0.00247,0.78743,-64.49652,-8.68377,170.87126
2.7151,0.5058,0.1156,0.0868,-0.4535,-2.7598,-0.06799,0.19571,1.24394,6.27829,7.72667,2.15119
0.137,0.7458,1.1121,0.2157,-0.9674,-0.7618,-0.08124,-0.16267,0.86203,31.84536,-44.03281,-46.79451
0.9496,-0.4325,-0.9115,-0.2779,-1.4541,-1.1022,0.59772,0.57732,0.56816,-155.23127,-5.06936,-64.44925
0.7971,-0.9421,0.0794,1.0657,1.2259,-0.0352,0.52321,0.32087,0.58801,50.29903,-27.65316,64.00733
1.9326,-0.45,1.0694,-1.3303,0.5496,2.7925,0.08559,0.19776,0.84738,-49.00015,18.51775,175.7762
2.3452,1.3659,-0.1779,1.1818,0.1111,0.1434,0.32062,-0.11318,1.27471,-69.85095,-15.33,-134.92644
2.9765,-1.5286,1.5448,1.4488,1.2545,1.5712,-0.00643,0.15319,0.67249,-71.9904,0.94329,-16.44274
1.6776,-0.3244,0.7995,0.3247,-1.4798,-2.2353,0.1247,0.2445,0.92746,-48.3433,-39.5453,-1.69255
2.6478,1.5629,1.2259,0.0936,0.3387,0.036,0.21626,0.054,0.70542,-178.12434,-0.65864,-35.41174
0.1764,0.3962,0.665,1.2107,0.3733,-0.7898,0.05716,-0.14223,1.06683,-35.65295,-65.10516,69.74159
0.3966,-0.8448,-0.5159,0.3497,-1.1369,2.9471,0.71581,0.1371,0.41911,-163.74302,-39.00719,25.69246
0.4624,-0.7912,1.2651,-0.5695,1.41,2.7605,0.17842,-0.07873,0.75821,-112.28868,51.34312,65.52439
0.4595,-1.491,0.838,-0.8574,0.1591,-0.9402,0.34698,0.00428,0.57203,-29.8566,-12.34383,-71.06657
2.7378,0.0946,0.3149,-1.3395,-0.5206,2.4024,-0.19537,0.24665,1.1168,-2.20283,-32.66772,-135.50412
0.7591,-0.9125,0.2519,0.0727,1.4027,2.1854,0.49875,0.26635,0.65876,-38.16811,20.69877,163.77238
0.5241,-0.6249,0.42,-0.7445,-1.3073,-0.3862,0.47156,0.09926,0.83786,-77.49657,59.29824,-90.34257
0.8985,1.2907,-1.161,-1.0848,0.6257,1.0527,0.1695,-0.028,1.5176,-32.54956,-24.28045,54.67885
2.45,-0.6419,-0.3823,0.8146,-0.8528,0.8376,-0.46295,0.57814,0.6204,95.72118,3.34239,-95.88281
0.199,-1.5646,-0.0297,0.0449,-0.1047,-1.4678,0.45498,-0.06132,0.2096,-97.41995,8.42428,-79.42018
2.8106,-0.9242,-1.424,0.7483,0.0991,-0.2949,-0.47485,0.32184,0.00985,155.63008,44.80325,-56.75978
0.5369,-1.3188,1.2808,-0.9037,0.9014,2.0585,0.20079,-0.0551,0.68438,-46.18185,22.75181,87.9447
2.1249,-1.0129,1.185,-0.5485,1.05,-2.1107,0.0357,0.22747,0.7344,64.12977,33.5925,-12.31539
2.5566,-0.6936,0.6257,-1.4178,0.5206,-1.0669,-0.23527,0.33581,0.8252,24.36673,-17.09769,1.4248
2.7314,-1.4166,0.4593,-0.7172,-0.8288,-3.0399,-0.33547,0.3095,0.47716,98.25317,-63.00029,-149.91328
2.9367,-1.1799,0.2045,-0.063,0.1383,2.3196,-0.49172,0.25544,0.49796,40.8256,-27.79546,-72.71235
0.7026,1.2922,0.184,-0.6718,0.6436,1.2947,-0.13901,-0.31432,1.14798,-128.92919,-51.3995,138.56583
2.4921,0.0007,-0.8451,-1.5359,0.3108,-0.4324,-0.52095,0.58402,0.94375,-43.31053,-28.35665,49.49425
0.2983,1.4604,1.3169,0.8854,-0.2675,-1.8284,-0.07561,-0.18023,0.70477,148.31575,-8.53384,-108.68635
0.9008,-0.4613,0.5751,-0.4544,-1.4019,0.8867,0.3398,0.18728,0.91094,71.00226,34.71433,103.83614
2.2563,-0.4606,-0.3078,0.8786,-0.632,1.7543,-0.32793,0.63802,0.77627,64.66472,-41.97949,-94.48523
1.3071,0.4981,0.972,-0.0933,-0.8186,-3.0815,0.13229,-0.08568,0.94173,-4.06499,37.43788,-105.37886
0.6366,0.5516,0.5173,-0.2011,1.4429,-0.8384,0.08838,-0.12127,1.12365,145.01169,-15.19503,-92.93424
0.5834,0.6239,-1.4836,1.2647,-0.7561,-1.115,0.65924,0.25534,1.19053,-36.23988,66.76509,38.48363
2.7321,0.4816,0.1057,0.8699,1.081,0.1883,-0.08732,0.20147,1.24253,-82.5705,-53.84794,-76.91151
2.0128,-1.2827,0.612,-0.9735,-1.0413,-2.5846,-0.03845,0.43204,0.58348,-8.77579,-84.54222,-101.65118
1.2896,-1.341,1.1662,1.5517,0.4542,-0.0416,0.19784,0.1442,0.67307,12.19581,-24.92749,155.38695
1.0952,-0.2233,0.1416,-1.1746,1.1252,0.9835,0.35159,0.35496,1.00491,-59.55081,-25.34983,69.16269
0.7683,-1.0135,-0.8147,0.2579,-0.6427,1.628,0.56505,0.33739,0.17581,142.76316,-16.279,127.48667
2.6837,-0.1106,-1.2006,-1.1579,-1.5065,0.3241,-0.69764,0.5111,0.71539,-116.30086,33.25489,-31.17433
1.7804,0.6901,-0.807,-0.4957,0.4296,-1.3073,0.0628,0.42591,1.37321,17.319,-7.87489,-1.80797
2.0573,0.7678,0.1524,-1.4592,1.5076,-0.0469,0.14229,0.05191,1.24942,93.50884,-34.91105,-57.37488
2.3939,0.4054,0.5995,-0.0005,-0.1088,-0.6511,0.07035,0.1394,1.09078,37.16881,-38.38065,86.47869
1.8775,-0.6487,-0.8985,0.0937,0.9612,-0.3723,-0.09132,0.78533,0.40085,-7.76557,33.14997,85.67403
0.4543,0.7534,1.1328,1.0017,-0.1399,-1.6193,-0.02568,-0.17953,0.85259,111.82202,-50.6421,-88.11565
1.604,0.7533,-1.3208,-0.2716,1.2017,2.286,0.13124,0.56886,1.32041,-24.46427,30.13876,-154.21336
2.2132,0.1107,0.0321,0.134,-1.0776,-1.7278,-0.1122,0.40039,1.14983,-53.19038,-8.3177,39.03087
2.4985,0.2962,-0.7045,1.3246,-1.4584,-2.0688,-0.39263,0.48172,1.18611,-89.60931,-5.88429,127.6389
1.2201,0.1376,-0.0195,-0.4745,-1.2358,3.0028,0.27731,0.32129,1.16224,9.56108,-64.44031,-149.14616
0.1003,-0.6379,-1.5443,1.4055,-0.176,0.6599,0.70037,-0.08032,0.15021,131.82816,-28.01746,85.28123
2.9019,-1.2269,-1.5215,-0.7501,1.5072,-0.304,-0.2483,0.21515,-0.14131,-67.37949,54.92176,139.32977
0.1248,-1.0986,0.5557,1.4366,0.5183,2.1197,0.45214,-0.0945,0.64651,-36.59838,-14.28706,-152.62466
2.5034,0.6664,-1.3958,1.4146,-1.5021,1.4482,-0.4265,0.50317,1.24716,93.62022,-34.16219,-47.90462
1.5697,1.3921,1.3081,-1.2774,-0.3917,2.9976,0.14991,-0.12623,0.71501,-149.1689,23.32378,-177.16541
1.6489,-0.0749,-0.5154,0.513,-1.0807,0.0238,0.09593,0.69741,0.98695,97.09139,72.64684,-143.0752
0.9513,-1.4188,0.7728,1.5575,-0.9415,-2.4293,0.32047,0.19094,0.57758,-62.23915,-5.66656,27.35343
1.0556,-0.9519,-0.3469,0.2593,-0.7133,1.433,0.46161,0.51074,0.41657,114.15428,-7.11034,157.88308
0.823,1.1849,0.8368,-1.4314,0.7752,3.0441,-0.04977,-0.27431,0.90198,-114.72352,-17.54128,95.9627
1.1172,-0.0878,-1.5525,-0.7655,-0.382,2.3166,0.5115,0.70682,0.58373,109.47854,4.15158,139.58193
3.0158,1.2346,0.6186,-1.5227,-1.004,1.3905,0.29453,0.114,0.97862,-142.91661,-82.02578,13.42055
0.975,1.176,-0.2504,-0.4663,-1.5175,1.711,0.03064,-0.22219,1.3463,34.23508,-25.74006,136.13483
2.3829,-1.3142,0.58,-1.5469,-1.448,2.9892,-0.1972,0.39369,0.56112,84.46353,-38.9394,145.75277
0.601,0.2885,-0.6139,0.0824,-0.9649,-0.7718,0.55598,0.19926,1.19733,-66.89258,44.95543,-34.74977
1.014,-1.0227,1.1692,1.215,0.8599,0.4375,0.22359,0.07525,0.73342,-36.89243,-40.62713,170.51316
3.0696,-0.152,-0.5801,1.2062,-0.9602,0.3109,-0.71786,0.20221,0.91404,74.30669,31.28027,-50.54082
0.8643,0.4133,0.794,-1.4078,0.8622,1.877,0.11353,-0.09811,1.01775,-79.54041,-50.1963,82.48231
0.347,-0.7567,1.2787,1.1404,-0.6563,3.0168,0.16036,-0.10157,0.7598,31.31067,-17.75061,-116.04446
1.7493,-0.3186,-1.407,0.9442,0.1602,2.6559,-0.00034,0.84697,0.44994,-97.92902,-64.31375,9.9441
0.6098,-1.4883,0.9431,-0.7024,-0.6977,-2.4578,0.3129,0.03556,0.60017,-34.82852,-60.7641,-133.43543
2.2465,-0.6764,0.2698,-1.142,-0.3698,-1.6994,-0.212,0.50438,0.79009,-28.63506,-24.76836,-31.75226
1.6905,0.295,0.4578,-1.4886,-1.2794,2.9143,0.13312,0.14972,1.12637,-62.68141,-54.97126,-114.35506
0.2415,1.1378,0.6433,0.0925,1.3947,0.641,-0.20234,-0.20437,0.99349,-177.03729,4.70456,156.21364
2.5398,-0.8624,-1.1016,-1.2561,-0.0865,2.648,-0.469,0.50413,0.15972,114.47688,11.21292,-124.57975
0.9366,-0.5291,-1.4449,0.6582,0.0632,2.6665,0.57236,0.52489,0.26578,-155.59586,-67.69501,25.1803
0.4315,-0.8015,-0.6511,-1.4049,0.755,-1.6248,0.72726,0.16966,0.39238,4.12736,-78.53491,-115.89207
2.9547,-1.5616,0.4233,-1.1801,0.7119,-2.6692,-0.3696,0.2226,0.4026,54.19437,-21.79471,-39.70515
2.9076,-1.4996,-0.8884,-0.26,-0.4041,-1.4975,-0.2681,0.21816,-0.08765,-160.29311,-8.7377,83.55586
2.9368,1.3205,1.3884,0.0046,-1.3664,1.4392,0.12112,0.1281,0.70668,-76.81304,-7.23273,-103.6884
2.7626,-1.4112,-0.8545,1.4997,0.33,-2.4822,-0.3043,0.2827,-0.04656,-127.57612,15.343,33.2224
3.0077,-1.281,1.4545,-0.5987,-1.3128,-3.0109,-0.0482,0.1579,0.68686,-29.01101,-63.57417,-12.17063
1.8056,-0.2683,0.3323,-1.0139,-1.3674,2.2574,0.05078,0.43268,0.98958,71.85689,-41.08949,146.81552
0.5436,0.6666,0.1788,0.4563,-0.5256,-2.204,0.10306,-0.11304,1.24048,23.45093,-6.83078,-75.91636
0.5287,0.3077,1.4058,-0.5016,0.3165,-1.5656,0.05947,-0.13903,0.76129,117.36651,28.15635,-55.40382
0.8232,-1.0504,-1.0295,-1.3995,0.5742,-2.4843,0.50562,0.32467,0.06901,126.54637,-56.53225,139.95268
0.5502,-0.2578,1.1987,1.0898,0.8484,0.8842,0.14712,-0.08579,0.8325,-83.69929,6.73201,164.26216
1.0067,1.1683,-0.3156,-0.2836,-0.9564,1.7347,0.05052,-0.20079,1.36851,4.99909,-13.15654,146.39598
0.8428,0.9942,-0.9091,-0.8094,-0.3813,0.3593,0.25768,0.06359,1.46578,10.11231,15.93309,24.59657
0.0146,0.7321,0.863,1.4923,1.1894,2.4842,-0.1088,-0.15165,0.97026,95.95031,37.89649,-17.3137
2.3209,1.3007,1.4073,-0.2817,1.3265,0.6233,0.16747,0.04038,0.70466,137.91702,34.57677,-84.95166
0.6841,-0.3221,1.0096,-0.33,-0.7872,-0.2512,0.21205,-0.02069,0.88173,9.84326,9.84228,11.5817
2.3539,-0.759,-0.8741,0.3555,-0.7905,-1.6662,-0.41781,0.63243,0.32752,-137.7294,16.69744,47.85532
0.9789,-0.7111,0.7722,0.3072,-1.1243,-2.2101,0.30365,0.18271,0.82224,-55.03085,-32.47724,-36.34222
0.3397,0.7498,-0.4027,1.0162,-1.1571,-2.4736,0.22745,-0.07876,1.37905,-25.77134,-52.99286,-61.51767
0.528,-0.8194,-0.0922,1.0486,0.7831,-2.1842,0.63581,0.19712,0.60472,-20.73108,40.39889,-60.61965
2.9296,-0.9519,-1.4704,-0.1517,0.4701,0.1219,-0.47652,0.25605,-0.01809,177.98536,67.92107,-10.08433
0.7745,-1.1274,-0.6179,-0.7527,-1.211,2.024,0.53878,0.31723,0.18682,152.85959,34.44495,111.81328
2.3373,1.1111,0.9599,1.4255,-0.778,-0.5678,0.24477,-0.03787,0.86952,-116.68426,-55.793,-159.37763
2.0572,1.4568,-0.7398,0.7686,-1.3371,-2.8181,0.23517,-0.12375,1.43965,20.31631,-47.45427,-27.82088
0.3298,-1.164,0.615,-1.528,0.2048,2.1094,0.4398,-0.00805,0.63302,9.28325,31.68984,58.15598
0.6642,0.9493,0.0097,0.4367,-0.5594,-1.7075,0.02131,-0.17388,1.2875,22.68881,-17.38915,-44.63943
1.4266,0.1743,-1.4153,-1.2479,-0.9428,1.5945,0.26925,0.81008,0.86734,96.53712,62.44534,127.32396
1.8661,-0.7815,1.1909,-0.196,-0.2675,1.3193,0.09895,0.19029,0.77189,-6.38568,-6.2258,172.2344
0.4386,-0.7696,-0.7456,0.9609,-1.2074,-2.4256,0.73583,0.17942,0.37509,-123.25714,20.16033,-14.26471
0.5547,0.365,-0.4993,-1.4283,0.6886,-2.56,0.48815,0.12594,1.25115,29.99312,26.17533,173.12206
0.6502,1.1065,-1.2205,0.4355,-1.1909,3.1328,0.29989,0.03956,1.48461,-8.25152,-74.00896,-110.13762
1.8098,0.5043,-0.9368,-1.1352,-0.8408,2.7095,0.00908,0.59657,1.26401,55.05236,-34.21821,165.05369
0.019,1.2628,0.0296,0.5775,1.1077,-0.0932,-0.27579,-0.15532,1.22149,-142.05453,-40.68925,168.53207
0.5786,-1.3527,-0.827,-0.2652,1.4649,-1.7055,0.4471,0.11281,-0.01337,-40.36224,-17.49775,-54.03309
