Q1,Q2,Q3,Q4,Q5,Q6,X,Y,Z
0.3281,-1.3517,0.0557,-0.9581,0.3087,-0.7513,0.53584,0.0239,0.34798
1.7389,0.9917,1.3273,0.1648,-0.814,-1.8154,0.16366,-0.06754,0.75434
3.1239,1.3072,-0.7535,0.0206,0.5443,0.7453,0.09992,0.14831,1.46667
1.7081,0.511,0.9441,-0.5227,0.7829,0.1183,0.15547,-0.02892,0.95301
1.6986,-0.2113,0.4015,-1.5145,-1.4981,-2.5481,0.10288,0.37668,1.00912
1.3518,-0.436,0.9094,1.2089,-0.8872,0.4992,0.19266,0.17493,0.88304
0.4248,0.7799,-1.0736,-1.4194,0.3091,1.9203,0.47316,0.04934,1.38291
3.0139,-0.8227,-0.7243,-1.1972,0.5098,-1.6228,-0.70087,0.24127,0.34531
1.1131,-1.293,1.5348,-1.5656,-1.1975,-0.2141,0.14995,-0.03515,0.68068
2.4262,0.532,-0.9945,0.5482,0.195,1.8784,-0.34161,0.49563,1.26824
0.4261,-0.5803,1.3314,-0.7196,0.8266,-1.8411,0.13602,-0.10304,0.76456
0.5909,1.2224,-0.2231,-1.5479,-1.5017,-2.4029,-0.08647,-0.2387,1.32832
2.3506,-0.0554,0.7952,1.0299,1.1952,-2.8972,-0.00232,0.21575,0.98053
1.0981,-1.3324,0.4794,0.0027,-0.9659,-2.3269,0.33419,0.32395,0.52096
3.1288,-0.6385,0.3361,-0.3285,1.0356,-1.2603,-0.49275,0.15637,0.82064
2.1264,-1.2346,-0.7284,1.5083,0.5234,2.133,-0.15403,0.53257,0.0804
0.4432,-1.4226,0.1094,1.1932,-0.817,-1.8723,0.50383,0.07307,0.33514
0.4854,1.5158,0.2312,-1.4229,0.7506,0.4296,-0.28815,-0.32165,1.04727
1.0465,-1.0415,0.8206,0.5353,1.3468,0.1746,0.29632,0.21267,0.71598
1.6397,-1.3308,0.7826,-0.5538,1.4996,0.0732,0.12594,0.35451,0.61035
2.2494,-0.4779,-0.3681,0.1696,-0.4293,-1.0661,-0.33523,0.65478,0.74432
1.9417,1.3638,-1.2549,1.2025,1.2011,0.9505,0.11738,0.11216,1.52586
2.054,-0.7606,-0.367,0.8385,-0.6726,-1.9546,-0.19775,0.69984,0.541
2.6298,-1.0653,0.8544,0.7809,0.5183,-3.0067,-0.20494,0.28722,0.71202
2.7952,1.3531,0.1024,0.8234,-1.5269,-1.081,0.36448,0.02797,1.16328
2.3394,-0.242,0.8378,0.0679,-1.2596,-1.5699,-0.02678,0.24356,0.93714
2.7327,0.7326,-1.1926,-1.2531,-1.3811,-2.9146,-0.42748,0.34876,1.33852
2.6752,-1.3671,-0.1881,-0.6694,0.7537,-1.3363,-0.39647,0.36759,0.23539
3.024,-1.3992,-1.0237,-0.5247,1.3463,1.8755,-0.32278,0.18923,-0.092
1.0347,0.8255,0.1507,0.3715,-1.0449,1.2408,0.10168,-0.12262,1.24785
2.5329,0.2275,-0.3114,1.2317,0.5517,-2.2348,-0.3056,0.3959,1.1978
0.2892,0.2996,-0.1242,-0.2102,0.5434,2.4187,0.38516,-0.04195,1.22799
0.2946,-1.0899,0.5125,0.4149,-0.7614,3.1201,0.47652,-0.01221,0.63972
1.5498,-1.3838,-0.0167,0.8313,-1.0361,2.7127,0.16071,0.50601,0.30073
0.7496,0.3643,0.625,-0.1528,-0.4219,0.1961,0.1416,-0.07319,1.07982
0.637,1.549,0.1765,-1.0864,-0.744,2.155,-0.24867,-0.37065,1.05705
0.4502,0.6346,-0.7281,-0.2107,0.0115,0.7538,0.43287,0.04255,1.35584
0.2094,-1.5421,-0.5122,0.5928,-1.5377,0.0813,0.40803,-0.06669,0.0215
2.2993,1.4854,-0.051,1.177,-1.3942,1.782,0.37041,-0.18977,1.18088
0.9993,1.4844,1.0776,1.1332,0.8304,-0.8913,0.00926,-0.26302,0.75186
1.599,-1.5626,-0.9391,-0.5183,0.1498,-0.6241,0.14308,0.24922,-0.11845
1.3899,0.818,-1.5403,0.3877,-1.1794,0.4276,0.25481,0.55919,1.2975
2.7383,-0.3954,0.0092,0.5593,0.8643,2.9209,-0.47452,0.36561,0.89786
3.1055,-0.671,0.4191,0.1953,0.4909,-0.262,-0.45975,0.16675,0.81646
2.9854,-1.2634,-0.053,-1.3366,-0.453,-1.725,-0.52358,0.23435,0.34929
2.932,0.862,1.4561,0.388,-1.4373,-1.1253,0.0796,0.13647,0.72104
0.4055,0.4889,-0.1864,0.651,0.4956,-1.3663,0.30909,-0.0306,1.29287
2.4483,-0.757,-0.8686,1.4127,-1.1042,-2.019,-0.47629,0.59083,0.33137
0.2184,-1.1142,0.4857,-0.8906,1.4979,-0.5945,0.48224,-0.04667,0.62162
0.6999,-1.438,-0.8032,-0.8654,0.1106,-2.903,0.38954,0.13187,-0.04035
0.1295,-1.2816,-0.8618,0.4683,-0.9932,-0.1162,0.49047,-0.08744,0.00694
1.3635,0.3766,-0.1038,-0.51,-0.7591,1.3405,0.20956,0.26734,1.25193
2.9667,1.4424,0.0798,-1.1197,0.1491,-1.8818,0.3954,0.08251,1.14133
1.8963,-1.0431,-0.5028,0.7649,-0.99,-2.3353,-0.06556,0.66348,0.28922
0.2104,-0.8085,-0.8358,-0.2452,-1.415,3.0976,0.74264,0.00516,0.30757
1.912,0.3106,-0.3124,-0.5857,-0.6403,-1.654,-0.00323,0.45751,1.23556
1.088,-0.7803,0.1453,-1.0146,0.3136,1.6685,0.40187,0.44348,0.70365
0.403,0.4142,-0.1481,0.4508,-0.874,-0.5839,0.33603,-0.01986,1.26755
0.9985,0.1747,1.2897,0.5797,0.5238,-2.802,0.12507,-0.08292,0.81292
2.6253,-0.3294,-1.2004,-0.385,0.2635,-1.5268,-0.65718,0.54559,0.52957
3.1127,0.8386,0.5971,1.1797,0.3063,2.7461,0.14075,0.14604,1.07124
2.2751,0.6077,-1.5025,-0.678,1.5116,0.1661,-0.34152,0.63368,1.17271
1.8209,-1.5243,-0.8487,1.5278,-1.2241,0.1896,0.06974,0.33326,-0.08403
0.3428,0.309,-1.0848,1.1225,1.5334,1.8892,0.73629,0.10346,1.09717
1.3436,-1.4833,1.231,0.6159,1.0051,-0.266,0.1834,0.12714,0.65474
2.2686,0.889,0.7022,0.0482,1.3041,1.0286,0.21779,-0.02619,1.01858
1.9862,0.947,-0.5489,-1.218,-0.6986,-2.5213,0.0955,0.15529,1.42821
0.3477,0.2078,1.1176,-1.2062,-0.8521,2.2531,0.05919,-0.13815,0.88551
0.0119,-0.5378,-1.0242,-0.7782,-0.7325,1.5426,0.80454,-0.14049,0.43414
2.9102,0.3472,0.2113,-1.0801,0.3491,0.1878,-0.15484,0.19064,1.1957
2.5937,-0.0024,1.2125,1.0436,-0.3125,-2.3507,0.04833,0.14629,0.84218
0.9706,-0.2248,0.1293,0.3601,-0.8564,2.148,0.39624,0.31327,1.00347
0.3312,1.0998,-1.3552,-1.3174,-1.0202,-0.7655,0.35582,-0.03632,1.46928
2.18,-1.3532,-0.3382,0.0573,0.178,2.6294,-0.17417,0.51186,0.17811
3.0017,-0.2729,-1.4281,1.307,-0.7983,1.4728,-0.81219,0.2659,0.47926
3.1329,-1.1638,-0.0178,-0.6867,-0.9562,-1.087,-0.57681,0.15507,0.42036
1.9419,0.1546,-0.8571,-0.9741,-0.3432,0.9153,-0.12168,0.72647,1.05477
1.6848,-1.2572,-0.4651,-1.3678,-0.4946,-2.7715,0.08571,0.57045,0.17585
0.4046,0.4093,1.4215,-0.019,-1.3696,1.0527,0.03482,-0.14832,0.75228
2.4309,-0.3771,1.5532,0.5515,-0.4889,-2.5981,0.0898,0.12068,0.69761
2.6196,0.0462,-0.7497,0.1277,0.4361,0.682,-0.55463,0.49213,1.00792
1.709,-0.8223,0.5954,1.2132,0.9695,1.7228,0.09203,0.42753,0.77161
1.3511,0.0898,-0.2617,1.314,-0.4955,0.4985,0.26062,0.47863,1.13252
2.5396,0.4723,0.8531,1.3987,1.2786,-2.2379,0.10921,0.10702,0.99286
2.8131,0.5151,0.3419,-1.0051,-0.4256,1.8002,-0.01091,0.16225,1.18259
0.4468,-0.1165,-0.2707,-1.5505,-0.5628,3.0455,0.6156,0.12856,1.01381
0.977,1.3087,-1.0361,1.2035,-1.169,-1.683,0.13286,-0.07138,1.5102
1.2913,0.5987,-0.2122,-0.1125,0.7709,0.5393,0.20291,0.16308,1.32278
0.9454,-1.2937,0.4467,-1.2392,-1.3613,0.3163,0.38808,0.28113,0.52724
1.045,0.756,0.2183,-0.4152,-0.4503,2.7001,0.11389,-0.10269,1.22741
1.5487,0.5215,-0.5145,1.4861,0.2481,1.693,0.15867,0.38827,1.31888
1.557,-0.3835,0.4182,-0.841,-1.2008,-1.3019,0.15563,0.40363,0.94251
1.203,0.6051,0.2854,-1.4564,-0.4167,0.3234,0.1516,-0.02388,1.20485
1.5419,1.5091,1.0965,1.5046,-1.5341,3.0557,0.14388,-0.21559,0.74193
2.9853,-0.0519,-0.9309,0.5424,0.7577,2.0991,-0.76863,0.27302,0.87206
0.6626,0.995,-0.9659,1.354,-1.3998,2.7373,0.28376,0.03109,1.46621
0.5953,0.1522,-0.175,-1.3075,-1.0216,1.6249,0.46248,0.132,1.16852
1.2956,-1.2421,0.9204,1.0721,1.2199,-3.0635,0.22461,0.24329,0.66638
0.6419,0.1729,1.0898,-1.5667,-0.9523,1.1948,0.1059,-0.10818,0.8964
1.6977,-0.5521,0.714,1.2861,-0.7675,-1.5645,0.10859,0.33451,0.87479
2.9605,-0.1156,-0.0837,-1.0232,-1.2677,-0.7619,-0.49854,0.24383,1.04126
1.6125,1.0405,1.4634,0.1986,0.401,1.0613,0.15221,-0.04868,0.70947
1.8419,-1.4034,-0.2914,-1.1695,-0.5347,-1.7907,0.01123,0.51991,0.17251
2.3124,-0.8778,-0.552,0.3059,0.1214,-1.0309,-0.36639,0.62211,0.38021
2.8069,1.0112,-1.2298,-1.3938,0.9978,-1.9829,-0.27437,0.25429,1.45489
3.1354,-0.4505,0.5715,-0.5623,-1.5644,1.7749,-0.35581,0.15226,0.91491
0.939,-0.6654,0.4,0.8574,1.3234,2.4663,0.40016,0.2927,0.81661
2.4773,0.6655,-0.583,-0.757,-0.8535,-0.2891,-0.16284,0.31808,1.37045
1.0361,0.54,-1.5566,1.3326,1.4884,-1.1456,0.51038,0.56732,1.10381
2.8316,-0.0898,0.28,-1.0833,1.2073,2.1736,-0.30503,0.25527,1.06096
0.7765,0.8505,-1.333,-0.1561,0.1499,2.6938,0.46409,0.24556,1.36946
0.2749,-1.1695,-1.4619,-1.3446,1.1563,2.4132,0.38896,-0.0462,-0.11239
2.5207,0.371,-0.0519,0.7421,0.1471,0.4354,-0.14552,0.28857,1.24475
1.4448,-0.8136,-1.2104,-0.7289,0.4045,2.6973,0.2338,0.6517,0.1507
1.0234,0.4207,-0.7491,-0.2276,-0.8964,-0.6069,0.41575,0.39379,1.25035
1.0872,-1.4414,-0.6021,1.5085,1.1044,1.3761,0.33321,0.31174,0.02897
2.1178,1.1127,1.5302,-1.4704,-0.4462,-2.5863,0.14552,0.04953,0.68961
0.4618,-1.0614,0.0613,1.3823,-1.388,-2.4002,0.59049,0.12628,0.51103
2.841,1.0845,-0.2875,-0.6045,1.5593,1.2221,0.13312,0.11583,1.36986
2.9469,-0.7816,1.0917,0.7342,0.4046,-0.3479,-0.16136,0.18476,0.78506
0.3612,-0.7508,-1.1617,1.5057,-0.7276,-0.0144,0.72258,0.11257,0.21343
2.358,0.1869,-0.4227,0.1822,-1.1017,-1.4055,-0.28009,0.4909,1.16717
1.8279,0.9382,-0.3074,-1.5432,-1.4118,-2.5882,0.14079,0.05461,1.38075
1.0543,-1.2218,-0.7754,-0.6879,0.4176,0.7243,0.39339,0.38885,0.06899
3.1357,0.5081,1.0898,0.4615,1.388,-0.4764,0.05582,0.14972,0.8905
0.8355,-0.7556,-0.786,1.5344,-1.144,-1.5747,0.61204,0.45297,0.36805
3.0185,0.6684,-0.6163,-1.4957,-0.0403,0.8448,-0.3157,0.19025,1.3717
1.6425,1.456,-0.4255,-0.6741,1.2652,-0.5817,0.1719,-0.29884,1.34031
1.0505,-0.2145,1.0554,0.5126,-0.8736,0.1003,0.18669,0.02401,0.88297
1.0358,0.3869,-0.4866,0.615,0.0205,1.3289,0.36517,0.32186,1.26239
0.0258,0.8378,-0.0123,0.3565,-1.2404,-0.3382,-0.01076,-0.15038,1.30049
0.7129,1.5662,-0.0524,-1.089,0.7555,-0.3021,-0.2256,-0.39341,1.14849
2.845,-0.4691,-0.1117,-0.8693,1.2396,-2.9045,-0.5673,0.33027,0.82648
0.4798,-0.2412,0.2907,0.8825,1.2246,0.6133,0.44025,0.05994,1.00096
3.0576,0.5025,-1.1378,0.372,-0.7744,1.8039,-0.63612,0.20414,1.2153
1.6147,0.2029,-1.5457,0.8404,0.3344,0.5837,0.11268,0.85392,0.83667
0.616,-0.8346,0.2063,-0.5534,-0.5649,-1.5321,0.5439,0.20118,0.68926
3.0569,-0.2639,0.3534,0.3184,0.4279,-0.9219,-0.38435,0.18322,0.99108
2.8388,-0.4346,1.2577,1.0845,-1.0368,1.4095,-0.04006,0.16972,0.79851
0.9685,-1.4239,-0.1673,-0.6338,1.311,1.4134,0.4038,0.32248,0.21557
2.5095,-1.5053,1.0936,0.1697,-0.3692,2.2243,-0.08856,0.25084,0.62855
2.1346,1.4843,1.1863,1.4557,-0.4751,1.8775,0.22127,-0.06919,0.72644
1.6721,0.4653,1.5147,-1.5062,1.1349,-2.214,0.15113,-0.00306,0.71239
1.2412,1.5125,-1.0699,0.264,0.3831,3.0357,0.0962,-0.18239,1.50178
1.3196,-0.8274,0.7736,-0.2749,0.7054,-1.5889,0.22879,0.2879,0.78403
1.1463,-1.006,-0.6576,1.243,0.1801,-0.9614,0.40822,0.53887,0.24686
2.8331,1.5227,1.2831,0.8991,0.0661,2.1274,0.17961,0.10025,0.70214
2.5238,-1.3917,1.4478,0.7185,-0.7268,-0.0254,0.02743,0.16459,0.6792
1.5741,1.1308,-0.7575,0.5872,-0.193,2.6457,0.1499,0.04584,1.47197
2.9178,-0.2114,-0.4744,0.0108,-1.1481,1.8581,-0.66031,0.30418,0.90255
1.8173,-0.1288,-0.0178,-1.5202,-0.1904,0.1768,0.02073,0.53254,1.04057
0.5691,1.289,0.4434,-0.1359,-0.9815,0.5414,-0.17975,-0.29311,1.03716
1.1343,-1.0573,0.1988,-0.1011,-0.2664,-2.2156,0.36943,0.43698,0.56257
2.2067,-0.2301,1.5353,-0.6372,0.3618,0.5599,0.11532,0.09643,0.70628
0.5919,-1.2592,1.2247,0.2075,-0.5184,2.9111,0.22278,-0.03103,0.69167
1.8871,0.7022,0.1761,-1.2669,-1.1771,2.8128,0.13941,0.05643,1.24204
0.4752,-1.0208,-1.1094,-0.8618,0.5144,1.6445,0.58519,0.13235,0.05736
2.825,-0.6387,1.5513,-0.7544,-1.4394,-2.566,0.03008,0.14804,0.6946
1.2032,-0.1451,-1.472,-0.6442,0.0189,0.2874,0.44825,0.74644,0.56913
1.4701,0.0728,-1.1591,0.0705,0.52,1.8506,0.23194,0.80297,0.88639
1.0361,0.3533,0.1546,1.0772,-0.8983,-1.0718,0.23758,0.10669,1.2084
2.4179,0.854,0.4665,1.2578,0.2397,-0.8217,0.1965,0.0266,1.12399
1.0701,-1.2755,-1.0946,-0.2904,0.9962,-3.0968,0.32949,0.28954,-0.06498
1.44,0.2734,1.3373,1.4024,0.8348,-0.6349,0.14662,-0.03593,0.79148
1.8452,-1.4699,-0.9183,-1.1653,-1.134,-2.6107,0.05662,0.35262,-0.0866
1.2117,-1.5367,-0.8652,0.6077,0.7611,0.8276,0.24267,0.2195,-0.09236
1.0092,0.2312,-0.9416,-1.2249,-1.3714,2.1926,0.50899,0.52721,1.08488
1.6597,1.2341,-0.6359,0.7475,1.3692,-2.4157,0.15689,-0.07009,1.44764
2.3373,0.2801,0.4204,0.5698,-0.8762,1.532,0.00255,0.21368,1.13441
1.9563,-1.0028,-1.1149,1.2881,-0.602,-2.1836,-0.08302,0.60363,0.06594
2.1468,-0.071,0.6287,-0.5455,-1.1853,2.5121,0.00633,0.26574,1.01831
1.7149,1.101,-0.7172,1.3642,1.3692,1.3585,0.14094,0.07362,1.46484
1.0238,0.1877,0.5071,-0.4067,-1.2813,-1.8212,0.21312,0.06148,1.0971
2.6843,-0.2583,-0.9264,0.481,0.2273,1.9022,-0.6741,0.49895,0.70533
2.6985,0.0935,0.2955,1.1624,-0.2873,0.3244,-0.19308,0.25772,1.11938
2.9238,1.2517,-0.1005,-0.915,-0.4437,2.0367,0.27712,0.09235,1.27628
0.4592,0.1971,0.9948,-1.3904,-0.3156,1.2033,0.0932,-0.12131,0.93497
1.544,1.3155,0.9849,-1.1365,-0.1756,0.2917,0.14393,-0.23031,0.81694
0.524,0.92,-0.9143,0.3007,0.9108,1.9806,0.31702,0.0099,1.44728
2.7402,-1.1509,1.083,0.6266,-1.5198,-1.0347,-0.14903,0.22626,0.70697
2.319,-0.6675,0.8885,-0.0027,-0.029,-1.179,-0.06982,0.29577,0.83028
0.2272,1.5349,-0.5135,-1.4441,-1.0522,-2.1362,-0.29957,-0.22327,1.34614
0.3022,1.4683,0.3485,0.2752,0.4004,2.7196,-0.3177,-0.25622,1.0159
0.8274,-1.4939,1.5081,0.2513,0.4787,-0.8031,0.1425,-0.0667,0.67335
1.0827,1.0166,0.3871,-1.3183,1.3359,-0.7491,0.041,-0.24275,1.13083
2.7715,1.0147,1.5363,-1.2062,-0.1144,1.4461,0.08166,0.12927,0.69121
2.6165,-0.4554,-1.256,1.5042,1.1435,0.6539,-0.62781,0.53713,0.4013
0.1272,-1.0965,-0.6851,-1.3053,-1.5632,0.2943,0.62927,-0.07079,0.17749
2.6318,-0.0146,-0.3064,-0.0149,1.276,0.5427,-0.43936,0.41755,1.06886
1.7922,0.7366,0.8091,-0.29,0.9067,-0.0175,0.17083,-0.07563,0.99303
1.3154,-1.4222,-1.405,1.3571,1.1041,-1.6446,0.19019,0.13447,-0.17212
1.6571,-0.624,-1.4792,1.0806,-0.4221,-2.2036,0.08811,0.72244,0.18286
2.3271,-0.805,0.2349,1.0007,-1.2861,-2.4131,-0.26789,0.50261,0.71313
2.3461,1.3933,1.295,1.5264,-1.5056,1.7882,0.19893,0.01139,0.71754
2.5766,-1.4336,-0.8351,0.6591,0.2365,-0.8658,-0.23795,0.3285,-0.04895
2.4812,-1.5599,1.4351,1.1905,1.3317,-0.8552,0.02997,0.16672,0.66597
2.6942,1.3517,-0.1074,1.2596,0.0376,2.8524,0.34317,0.00176,1.25102
2.4006,-0.5015,0.5751,1.0509,0.7938,-3.0743,-0.16958,0.35852,0.89637
